Deve_stage,Zscore,LiDAR,Biomass,NDVI
Z35,33,0.7289,2.3672,0.6703
Z35,33,1.2005,3.1093,0.6931
Z35,33,0.2756,1.4435,0.4256
Z35,33,1.3229,3.1673,0.8046
Z35,33,1.2729,2.9311,0.7773
Z35,33,1.09,2.6467,0.7721
Z35,33,0.7923,2.2936,0.6482
Z35,33,0.3459,1.8549,0.5225
Z35,33,1.2612,3.3047,0.7359
Z35,33,0.5168,1.9899,0.6055
Z35,33,0.831,2.4658,0.6875
Z35,33,0.5287,1.9945,0.6433
Z35,33,0.8651,2.5057,0.7027
Z35,33,0.367,1.6354,0.6725
Z35,33,0.6608,2.2474,0.6895
Z35,33,0.7825,2.5112,0.6481
Z35,33,0.5166,2.0008,0.6435
Z35,33,0.8726,2.5535,0.6883
Z35,33,0.5132,2.0598,0.5287
Z35,33,0.6754,2.633,0.6731
Z35,33,1.0067,2.9037,0.6962
Z35,33,1.1958,2.8745,0.7398
Z35,33,0.9792,2.7005,0.7463
Z35,33,0.8468,2.5248,0.6219
Z35,33,0.5258,2.279,0.6436
Z35,33,0.8263,2.7834,0.6991
Z35,33,0.7344,2.73,0.6641
Z35,33,0.4409,1.9798,0.6156
Z35,33,0.7282,2.5766,0.524
Z35,33,1.4379,3.5432,0.6423
Z35,33,0.5094,2.0647,0.4907
Z35,33,0.3875,1.9656,0.4206
Z35,33,0.8681,2.6909,0.5196
Z35,33,1.2645,3.2964,0.7642
Z35,33,0.4862,1.8132,0.6708
Z35,33,0.9903,2.6967,0.7795
Z35,33,0.6837,2.5814,0.6644
Z35,33,0.5639,2.3851,0.5306
Z35,33,0.9158,2.8612,0.5976
Z35,33,0.796,2.7333,0.6592
Z35,33,0.5424,2.3452,0.6069
Z35,33,0.3987,1.953,0.5482
Z35,33,0.4762,1.9772,0.6101
Z35,33,1.0848,2.9483,0.69
Z35,33,0.8142,2.6766,0.6732
Z35,33,0.2525,1.7246,0.4676
Z35,33,0.3076,1.8386,0.484
Z35,33,0.8823,3.1786,0.6276
Z35,33,1.1743,3.1964,0.674
Z35,33,0.4554,2.3132,0.5626
Z35,33,0.473,2.264,0.5569
Z35,33,1.0239,3.0464,0.6967
Z35,33,0.5164,2.2881,0.6028
Z35,33,0.8107,2.6407,0.5574
Z35,33,0.8322,3.0173,0.4883
Z35,33,0.7582,2.9135,0.527
Z35,33,0.6787,2.6634,0.5314
Z35,33,1.1093,3.1865,0.6693
Z35,33,0.7632,2.7677,0.5254
Z35,33,0.8042,3.0292,0.5465
Z46,49,1.3027,4.4413,0.7611
Z46,47,1.898,5.9215,0.8237
Z46,47,0.6823,3.4648,0.5891
Z46,49,1.6087,5.0275,0.8322
Z46,49,2.1185,6.1989,0.868
Z46,45,1.6457,4.4895,0.7893
Z46,47,1.7759,5.7112,0.6564
Z46,43,0.6272,3.0149,0.4872
Z46,43,1.525,4.1833,0.6632
Z46,39,0.8739,2.8294,0.4761
Z46,45,1.4775,4.5816,0.826
Z46,43,1.6064,4.3016,0.8069
Z46,45,1.6449,4.6746,0.8241
Z46,41,0.7183,2.881,0.7023
Z46,45,1.359,4.3891,0.7917
Z46,47,1.2061,4.5988,0.7457
Z46,43,0.7842,3.55,0.6838
Z46,41,1.2206,4.2504,0.7164
Z46,47,1.5768,5.4435,0.7342
Z46,49,1.2889,4.7031,0.7594
Z46,55,1.8462,6.2782,0.7252
Z46,47,1.6523,5.0733,0.6959
Z46,47,1.3993,4.5464,0.7408
Z46,51,1.8484,5.2466,0.747
Z46,51,0.8674,3.8915,0.7241
Z46,43,1.1449,4.5398,0.763
Z46,43,1.1366,4.0649,0.758
Z46,41,0.8509,3.1481,0.6834
Z46,47,1.0884,4.1307,0.6669
Z46,47,1.6506,4.4588,0.7598
Z46,47,1.5145,4.8789,0.7263
Z46,47,1.0407,3.9329,0.6718
Z46,43,1.558,4.3236,0.6985
Z46,51,1.7588,5.4424,0.7966
Z46,43,0.9968,3.1648,0.7021
Z46,47,1.223,4.3127,0.7464
Z46,49,1.0001,4.155,0.687
Z46,45,1.0772,4.3368,0.7544
Z46,51,1.2214,4.4172,0.745
Z46,45,1.1399,4.4627,0.6843
Z46,47,0.8457,3.5388,0.6236
Z46,49,0.7692,3.5032,0.6437
Z46,43,0.7967,2.9671,0.6259
Z46,47,1.5852,4.8427,0.7703
Z46,45,1.3308,4.8987,0.7262
Z46,45,0.6231,3.1551,0.522
Z46,41,0.4885,2.5186,0.4877
Z46,45,1.7848,4.8661,0.6905
Z46,47,0.9908,3.8121,0.6892
Z46,43,0.5327,3.1189,0.5774
Z46,49,0.8672,4.1532,0.6644
Z46,47,1.0101,4.1914,0.7042
Z46,49,1.0273,4.0863,0.7427
Z46,47,1.3469,4.3111,0.5954
Z46,45,1.0481,4.1535,0.626
Z46,45,0.7703,3.6912,0.4665
Z46,45,0.6405,2.9748,0.5335
Z46,47,1.5758,5.0293,0.6454
Z46,51,0.8591,4.1463,0.5907
Z46,51,1.4569,4.7618,0.688
Z51,51,1.8408,6.4072,0.7613
Z51,53,2.6492,7.3945,0.736
Z51,57,1.0062,4.4412,0.5474
Z51,53,2.6326,7.8599,0.8699
Z51,55,2.4868,7.1125,0.8424
Z51,53,2.4748,6.7084,0.8466
Z51,55,2.2301,7.0909,0.7918
Z51,43,1.181,5.1818,0.718
Z51,43,2.6355,6.9926,0.804
Z51,39,1.0652,3.9501,0.6429
Z51,53,1.9446,7.2478,0.8655
Z51,43,2.1526,6.8993,0.8617
Z51,53,2.2613,6.8513,0.8427
Z51,41,1.153,4.719,0.7569
Z51,53,1.4789,5.9989,0.787
Z51,55,1.5485,5.8058,0.7867
Z51,43,1.1049,5.1158,0.6771
Z51,41,1.6242,6.0169,0.7688
Z51,57,2.2624,7.5286,0.8122
Z51,53,1.7061,6.4592,0.7962
Z51,65,1.8556,6.9777,0.8038
Z51,59,1.9372,6.4231,0.7659
Z51,55,1.7779,6.1069,0.74
Z51,55,2.2066,7.2816,0.7892
Z51,57,1.1211,5.1103,0.7477
Z51,43,1.6988,6.1265,0.7631
Z51,43,1.7015,5.5717,0.7588
Z51,41,1.323,4.5688,0.7031
Z51,53,1.7564,6.8972,0.7667
Z51,53,2.3135,7.6148,0.8308
Z51,53,1.774,6.6973,0.8024
Z51,55,1.4421,6.0204,0.7394
Z51,43,1.8362,6.2158,0.8051
Z51,55,1.9188,6.702,0.8092
Z51,43,1.4312,4.4703,0.7013
Z51,53,1.724,5.9998,0.7712
Z51,53,1.4032,6.2357,0.7636
Z51,51,1.4917,5.6669,0.6309
Z51,53,1.8748,7.0694,0.6909
Z51,51,1.1629,5.1788,0.7604
Z51,53,1.1021,4.6502,0.6944
Z51,55,0.88,4.4673,0.7064
Z51,43,1.2736,4.5734,0.6435
Z51,55,2.1631,6.84,0.8039
Z51,53,2.0113,6.7918,0.7902
Z51,53,1.0999,5.2092,0.6179
Z51,41,0.8725,4.4012,0.5803
Z51,53,2.3621,7.6279,0.7309
Z51,55,1.4028,5.4051,0.7561
Z51,43,0.887,4.9841,0.6696
Z51,53,1.1615,6.1194,0.7324
Z51,55,1.4776,6.2415,0.7574
Z51,55,1.7374,7.0933,0.7679
Z51,55,1.9528,6.3109,0.6419
Z51,53,1.634,6.3532,0.7442
Z51,53,1.6245,6.5196,0.6784
Z51,53,1.4443,5.5677,0.6873
Z51,57,2.4504,8.4275,0.8112
Z51,55,1.1437,5.5501,0.6146
Z51,55,1.9294,7.364,0.7152
Z60,59,2.1743,8.8984,0.7156
Z60,55,2.6445,9.125,0.8438
Z60,65,1.0685,5.9705,0.6034
Z60,65,2.2315,8.505,0.7958
Z60,65,2.4394,8.4699,0.8226
Z60,59,2.3161,7.5475,0.795
Z60,65,2.2717,8.1384,0.7646
Z60,51,1.6291,6.745,0.6944
Z60,49,2.5994,8.4926,0.799
Z60,47,1.3879,5.3793,0.6081
Z60,59,1.86,7.7958,0.7814
Z60,49,2.2131,8.1069,0.7489
Z60,61,2.1626,8.327,0.7871
Z60,51,1.3688,6.2446,0.7087
Z60,65,1.8936,8.1953,0.7836
Z60,65,1.6878,7.8353,0.729
Z60,55,2.0076,8.1956,0.7703
Z60,55,1.9066,7.8516,0.7586
Z60,65,2.1991,8.4834,0.7963
Z60,65,2.1634,9.4365,0.8062
Z60,65,2.0194,8.8357,0.7199
Z60,65,2.3448,8.946,0.803
Z60,65,2.2221,8.2784,0.789
Z60,65,2.2113,7.921,0.8133
Z60,65,1.4175,7.3207,0.731
Z60,53,1.7383,8.1806,0.7559
Z60,47,2.0307,7.9863,0.7709
Z60,47,1.4649,6.3011,0.7241
Z60,60,1.5185,7.1424,0.7446
Z60,59,2.2505,8.6435,0.7951
Z60,61,1.8127,8.0643,0.6683
Z60,65,1.6992,7.84,0.6616
Z60,53,1.8512,7.2538,0.7595
Z60,65,1.8445,8.8656,0.8107
Z60,47,1.6476,6.2811,0.682
Z60,57,1.5984,7.1421,0.7357
Z60,65,1.4793,7.7693,0.6909
Z60,59,1.743,7.6992,0.7236
Z60,67,1.7908,7.457,0.7205
Z60,57,1.7519,7.5402,0.7828
Z60,65,1.3017,6.5127,0.6751
Z60,65,1.2325,6.317,0.6641
Z60,45,1.2659,5.7545,0.638
Z60,65,2.1621,8.1249,0.788
Z60,59,1.4403,6.4485,0.7546
Z60,61,1.0961,6.5079,0.5995
Z60,49,1.0723,5.8868,0.6075
Z60,65,2.2866,8.377,0.7812
Z60,61,1.5093,7.1193,0.7519
Z60,51,1.3773,7.4466,0.7148
Z60,65,1.5805,7.7748,0.7445
Z60,65,1.5471,7.4387,0.7035
Z60,65,1.5259,7.4367,0.7399
Z60,65,1.9905,8.1511,0.7633
Z60,65,1.7684,7.9408,0.7134
Z60,59,2.0953,8.1772,0.6863
Z60,57,1.5899,7.2135,0.6507
Z60,65,2.0434,8.3782,0.8122
Z60,65,1.1532,6.6951,0.6285
Z60,65,1.9604,8.179,0.796
